"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-01","0.00",",,E","0.0",",,E","32","H,,S","38",",,E","26",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-02","0.00",",,E","0.0",",,E","32","H,,S","39",",,E","29",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-03","0.26",",,E","0.0",",,E","43","H,,S","47",",,E","39",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-04","0.15",",,E","0.0",",,E","41","H,,S","45",",,E","34",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-05","0.01",",,E","0.0",",,E","39","H,,S","43",",,E","31",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-06","0.01",",,E","0.0",",,E","41","H,,S","44",",,E","35",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-07","0.00",",,E","0.0",",,E","42","H,,S","46",",,E","33",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-08","0.05",",,E","0.0",",,E","47","H,,S","51",",,E","44",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-09","0.33",",,E","0.0",",,E","49","H,,S","53",",,E","44",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-10","0.01",",,E","0.0",",,E","47","H,,S","53",",,E","39",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-11","0.00",",,E","0.0",",,E","40","H,,S","43",",,E","33",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-12","0.15",",,E","0.0",",,E","43","H,,S","47",",,E","41",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-13","0.04",",,E","0.0",",,E","43","H,,S","46",",,E","38",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-14","0.07",",,E","0.0",",,E","48","H,,S","54",",,E","41",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-15","0.04",",,E","0.0",",,E","53","H,,S","57",",,E","42",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-16","0.00",",,E","0.0",",,E","42","H,,S","48",",,E","39",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-17","0.05",",,E","0.0",",,E","46","H,,S","53",",,E","38",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-18","0.00",",,E","0.0",",,E","41","H,,S","46",",,E","35",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-19","0.01",",,E","0.0",",,E","38","H,,S","45",",,E","27",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-20","0.00",",,E","0.0",",,E","40","H,,S","45",",,E","31",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-21","0.00",",,E","0.0",",,E","40","H,,S","42",",,E","35",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-22","0.00",",,E","0.0",",,E","43","H,,S","46",",,E","40",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-23","0.00",",,E","0.0",",,E","41","H,,S","44",",,E","33",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-24","0.01",",,E","0.0",",,E","35","H,,S","36",",,E","33",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-25","0.00",",,E","0.0",",,E","37","H,,S","38",",,E","35",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-26","0.01",",,E","0.0",",,E","35","H,,S","38",",,E","33",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-27","0.13",",,E","0.0",",,E","43","H,,S","46",",,E","36",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-28","0.52",",,E","0.0",",,E","40","H,,S","44",",,E","33",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-29","1.16",",,E","0.0",",,E","38","H,,S","41",",,E","34",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-30","0.12",",,E","0.0",",,E","44","H,,S","48",",,E","38",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-01-31","0.05",",,E","0.0",",,E","50","H,,S","54",",,E","47",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-01","0.25",",,E","0.0",",,E","51","H,,S","54",",,E","47",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-02","0.19",",,E","0.0",",,E","43","H,,S","47",",,E","40",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-03","0.10",",,E","0.0",",,E","45","H,,S","48",",,E","41",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-04","0.09",",,E","0.0",",,E","40","H,,S","44",",,E","36",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-05","0.00",",,E","0.0",",,E","37","H,,S","44",",,E","26",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-06","0.00",",,E","0.0",",,E","42","H,,S","44",",,E","38",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-07","0.00",",,E","0.0",",,E","42","H,,S","44",",,E","40",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-08","0.00",",,E","0.0",",,E","42","H,,S","47",",,E","33",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-09","0.60",",,E","0.0",",,E","49","H,,S","56",",,E","43",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-10","0.53",",,E","0.0",",,E","43","H,,S","48",",,E","34",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-11","0.37",",,E","0.0",",,E","39","H,,S","42",",,E","34",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-12","0.18",",,E","0.0",",,E","38","H,,S","41",",,E","35",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-13","0.22",",,E","0.0",",,E","37","H,,S","40",",,E","33",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-14","0.02",",,E","0.0",",,E","40","H,,S","44",",,E","35",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-15","0.00",",,E","0.0",",,E","47","H,,S","53",",,E","40",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-16","0.23",",,E","0.0",",,E","54","H,,S","63",",,E","46",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-17","0.08",",,E","0.0",",,E","46","H,,S","51",",,E","40",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-18","0.07",",,E","0.0",",,E","44","H,,S","46",",,E","40",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-19","0.17",",,E","0.0",",,E","42","H,,S","45",",,E","35",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-20","0.27",",,E","0.0",",,E","43","H,,S","48",",,E","34",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-21","0.10",",,E","0.0",",,E","43","H,,S","46",",,E","38",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-22","0.20",",,E","0.0",",,E","46","H,,S","48",",,E","42",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-23","0.56",",,E","0.0",",,E","42","H,,S","46",",,E","37",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-24","0.70",",,E","0.0",",,E","41","H,,S","49",",,E","33",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-25","0.07",",,E","0.0",",,E","43","H,,S","49",",,E","36",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-26","0.02",",,E","0.0",",,E","37","H,,S","44",",,E","31",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-27","0.07",",,E","0.0",",,E","38","H,,S","42",",,E","35",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-28","0.37",",,E","0.0",",,E","40","H,,S","47",",,E","34",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-02-29","0.15",",,E","0.0",",,E","45","H,,S","55",",,E","35",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-01","0.01",",,E","0.0",",,E","43","H,,S","50",",,E","38",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-02","0.11",",,E","0.0",",,E","43","H,,S","51",",,E","37",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-03","0.13",",,E","0.0",",,E","42","H,,S","47",",,E","34",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-04","0.02",",,E","0.0",",,E","39","H,,S","45",",,E","31",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-05","0.03",",,E","0.0",",,E","42","H,,S","49",",,E","31",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-06","0.13",",,E","0.0",",,E","40","H,,S","44",",,E","38",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-07","0.00",",,E","0.0",",,E","40","H,,S","46",",,E","35",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-08","0.03",",,E","0.0",",,E","47","H,,S","53",",,E","42",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-09","0.13",",,E","0.0",",,E","46","H,,S","53",",,E","40",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-10","0.44",",,E","0.0",",,E","47","H,,S","52",",,E","41",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-11","0.08",",,E","0.0",",,E","49","H,,S","55",",,E","43",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-12","0.05",",,E","0.0",",,E","46","H,,S","52",",,E","38",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-13","0.19",",,E","0.0",",,E","40","H,,S","47",",,E","31",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-14","0.00",",,E","0.0",",,E","38","H,,S","47",",,E","26",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-15","0.00",",,E","0.0",",,E","49","H,,S","58",",,E","38",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-16","0.00",",,E","0.0",",,E","47","H,,S","53",",,E","35",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-17","0.00",",,E","0.0",",,E","45","H,,S","54",",,E","31",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-18","0.07",",,E","0.0",",,E","50","H,,S","55",",,E","44",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-19","0.00",",,E","0.0",",,E","45","H,,S","53",",,E","38",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-20","0.00",",,E","0.0",",,E","43","H,,S","49",",,E","33",",,E"
"GM000010147","HAMBURG FUHLSBUETTEL, GM","53.635","9.99","11.0","2020-03-21","0.00",",,E","0.0",",,E","38","H,,S","46",",,E","31",",,E"
